InvoiceNo,StockCode,User ID,Product ID,Name,Brand,Price,Category,SubCategory,Quantity,Description,Type,Rating,InvoiceDate,time stamp,image link,Country
536365,85123A,A3EI9TX2A4MUSZ,594549507,Aabad Cow Ghee Jar,Aabad,615,Grocery,Ghee & Vanaspati,1,Ingredients Ghee (Milk Fat)StorageStore in a cool and dry place,Grocery > Ghee & Vanaspati,4,12-01-2010 08:26,1386720000,,United Kingdom
536365,71053,A2UVFEZ7UDBRAA,594481813,Aabad Cow Ghee Pouch,Aabad,599,Grocery,Ghee & Vanaspati,1,Ingredients  Ghee (Milk Fat),Grocery > Ghee & Vanaspati,5,12-01-2010 08:26,1368576000,,United Kingdom
536365,84406B,A2J3WVIQ5LO1O7,594481902,Aabad Desi Ghee Pouch,Aabad,599,Grocery,Ghee & Vanaspati,1,"Key Features- Strengthens the Immune system- Ghee Improves Metabolism- Strengthens Bones- Dependable Source of vitamin A,D,E & K- Ghee Elevates the TasteStorageStore in a Cool and Dry Place",Grocery > Ghee & Vanaspati,4,12-01-2010 08:26,1400284800,,United Kingdom
536365,84029G,AJ4QIAKKHW21N,089933623X,Aashirvaad Multigrain Atta,Aashirvaad,337,Grocery,Flours & Grains,5,"
- Looking to switch to healthier flour option? 
- Look no further. Aashirvaad Atta with Multigrain provides you and your family with wholesome goodness and healthy benefits without compromising on the taste.
- Made with the choicest of grains sourced from the fields across the country, this multigrain Atta is made with extreme love and care in India.
- Aashirvaad Atta with multigrain is made with 6 natural grains – wheat, maize, oats, soya, channa and psyllium husk.
- This unique combination of grains ensures that the flour is high in fibre which aids in easy digestion of food and keeping the gut healthy.
- This powerhouse multigrain Atta also has many essentials which are required by the human body to stay fit, active and healthy.
- It is high in protein which helps in maintaining the muscle mass.
- It also contains low saturated fat which aids in maintaining cholesterol levels. The source of Vitamin B1, Thiamine in the Atta aids in normal function of nerves and heart while the presence of iron in the Atta helps in haemoglobin formation.
- The health benefits are not the only reason to switch to this multigrain flour.
- Aashirvaad understands the importance of taste and hence makes no compromise on that front as well.
- Behind every Aashirvaad pack are the Aashirvaad experts who’ve made the Atta with extra care.
- The careful selection of grains and its proportions in the flour help absorb more water which results in the roti’s being smooth, soft and tasty!
- Rich in flavour and wholesome nutrition, Aashirvaad Atta with Multigrain ensures that you and your family stay fit, active and healthy, every day.
",Grocery > Flours & Grains,1,12-01-2010 08:26,1312156800,,United Kingdom
536365,84029E,A1PY7ODDSRIFGV,879393742,Aashirvaad Select Sharbati Wheat Atta,Aashirvaad,321,Grocery,Flours & Grains,5,"
- Made from the King of Wheat – Sharbati, Aashirvaad Select is a premium quality Atta which is made with love in India.
- This sharbati wheat flour contains 100% MP Sharbati wheat from the Sehore region of Madhya Pradesh.
- The grains of Sharabati Atta are bigger in size and have a golden sheen to it.
- Aashirvaad experts handpick the grains ensuring that the grains are consistent in size and have the golden glow that makes Aashirvaad Select Atta truly select.
- The fields of Sharbati wheat in Sehore are sun-kissed to perfection and showered by the right amount of rain.
- The dough made from the King of Wheat – Sharbati, absorbs more water which leads to the roti’s being sweet in taste and softer in texture.
- Behind every atta pack are the Aashirvaad experts who’ve made it with extra care. By using Aashirvaad’s process to lock in the nutrients in the flour, it ensures that you and your family receive all the nutrients.
- Aashirvaad Select makes sure that you and your family remain fit and healthy as you enjoy soft, fluffy and sweet roti’s.
",Grocery > Flours & Grains,4,12-01-2010 08:26,1368057600,,United Kingdom
536365,22752,A2WOSVWG4SX1J1,879393742,Aashirvaad Superior MP Wheat Atta,Aashirvaad,273,Grocery,Flours & Grains,5,"OverviewThe goodness of choicest whole wheat grains sourced directly from the finest fields makes AASHIRVAAD Superior MP Atta, an excellent choice for preparing soft fluffy rotis. The Superior MP Atta is 100% Sampoorna Atta, as it contains 0% Maida. To ensure the retention of the wheat's high nutritional value, the grains are ground on the traditional like chakki. This technology ensures that you enjoy your whole wheat Atta the way it is from the bounty of nature, like in the good old days. The dough made from AASHIRVAAD Atta absorbs more water, which result in soft and tasty rotis.Key Features- 0% maida- 100% atta- 100% pure and naturalBenefits- Pure : AASHIRVAAD, uses 100% pure whole wheat grain produce, that is harvested to excellence to prepare the Superior MP Atta.- Superior: As compared with bleached white flour, the AASHIRVAAD Superior MP Atta does not undergo processing for high grain extraction. Thus, the Superior MP Atta offers you, Atta in its pure form, untouched by impurities.- From Farm to Plate: At AASHIRVAAD, the whole wheat grains are sourced straight from the farmers across the most fertile fields. These 'high-quality' grains are heavy on the palm, golden amber in colour, and hard in bite.- 4 Step Cleaning: To ensure that you get superior chakki atta, AASHIRVAAD Atta undergoes a four-step 'advantage process' of sourcing, cleaning, grinding, and nutrition lockage, before the product reaches your kitchen.- Hygienic: The mechanized process ensures that the Atta is untouched by hands, thus guaranteeing hygiene.UsageUsing Whole wheat Atta, you can make anything from the daily staples like rotis, parathas to some delicious culinary varieties like wheat momos, Malpua, and Khatiyawadi Bhakri. If you love varieties, you can also try making some South Indian delicacies like Wheat Dosa, Sweet Bonda, or Wheat Kesari.Storage ConditionStore in a cool and dry place.",Grocery > Flours & Grains,5,12-01-2010 08:26,1386892800,,United Kingdom
536365,21730,A17ZYVAZZZWXU5,879393742,Aashirvaad Superior MP Wheat Atta,Aashirvaad,512,Grocery,Flours & Grains,10,"OverviewThe goodness of choicest whole wheat grains sourced directly from the finest fields makes AASHIRVAAD Superior MP Atta, an excellent choice for preparing soft fluffy rotis. The Superior MP Atta is 100% Sampoorna Atta, as it contains 0% Maida. To ensure the retention of the wheat's high nutritional value, the grains are ground on the traditional like chakki. This technology ensures that you enjoy your whole wheat Atta the way it is from the bounty of nature, like in the good old days. The dough made from AASHIRVAAD Atta absorbs more water, which result in soft and tasty rotis.Key Features- 0% maida- 100% atta- 100% pure and naturalBenefits- Pure : AASHIRVAAD, uses 100% pure whole wheat grain produce, that is harvested to excellence to prepare the Superior MP Atta.- Superior: As compared with bleached white flour, the AASHIRVAAD Superior MP Atta does not undergo processing for high grain extraction. Thus, the Superior MP Atta offers you, Atta in its pure form, untouched by impurities.- From Farm to Plate: At AASHIRVAAD, the whole wheat grains are sourced straight from the farmers across the most fertile fields. These 'high-quality' grains are heavy on the palm, golden amber in colour, and hard in bite.- 4 Step Cleaning: To ensure that you get superior chakki atta, AASHIRVAAD Atta undergoes a four-step 'advantage process' of sourcing, cleaning, grinding, and nutrition lockage, before the product reaches your kitchen.- Hygienic: The mechanized process ensures that the Atta is untouched by hands, thus guaranteeing hygiene.UsageUsing Whole wheat Atta, you can make anything from the daily staples like rotis, parathas to some delicious culinary varieties like wheat momos, Malpua, and Khatiyawadi Bhakri. If you love varieties, you can also try making some South Indian delicacies like Wheat Dosa, Sweet Bonda, or Wheat Kesari.Storage ConditionStore in a cool and dry place.",Grocery > Flours & Grains,3,12-01-2010 08:26,1388534400,,United Kingdom
536366,22633,A29FNXHYVA2W4G,594511488,Aashirvaad Svasti Pure Cow Ghee Pouch,Aashirvaad,650,Grocery,Ghee & Vanaspati,1,"OverviewAashirvaad Svasti Pure Cow Ghee is made using a special SloCook process, in which the ghee is prepared by slowly cooking for about 3.5 hours over gradually increased temperatures. This gives Aashirvaad Svasti Pure Cow Ghee its unique, rich aroma.Key Features- Rich Aroma- Granular Texture- Authentic tasteIngredientMilk fatCare InstructionsStore the product in a cool place & away from direct sunlight.",Grocery > Ghee & Vanaspati,5,12-01-2010 08:28,1398124800,,United Kingdom
536366,22632,AYKXABHFBFGJX,972683275,Act II Butter Delite Flavour Popcorn,Act II,135,Packaged Food,Snacks & Farsans,450,"  OverviewEnjoy the classic Butter Delite popcorn flavour, while catching up on your favourite movies or shows. The delicious buttery aroma and flavour makes it an irresistible snack. What's more, you can make it in just 3 minutes in a pressure cooker or pan.Key Features 100% Vegetarian Zero Trans Fat Ready to Cook Cooks in 3 MinutesIngredientsPopping Corns, Refined Edible Vegetable Oil, Iodized Salt and Beta Carotene.How to Use Empty the contents into a deep thick- bottomed pan or pressure cooker. Cover with inverted lid. Leave a small gap facing away from you. Allow steam to escape. Cook on medium flame. Shake utensil until popping slows down to 1-2 seconds between pops. Hot 'n' fresh popcorn ready in just 3 minutes. Empty utensil immediately after popping. Enjoy!Frequently Asked QuestionsIs it ready to eat?No, it is ready to cook. Please refer to the cooking instructions.What is the expiry?This product is best consumed within 8 months of manufacturing date.Can it be made in the microwave?No, this packet is for pressure or pan cooking.Care InstructionsStore in an air tight container at a cool, dry place away from direct sunlight.About the BrandEnhance your movie-watching experience, in the comfort of your own home with Worlds No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. ",Packaged Food > Ready To Cook > Snacks & Farsans,2,12-01-2010 08:28,1336694400,,United Kingdom
536367,84879,A3BLYMV1UIDWU9,972683275,All Out Ultra Day & Night Protection - Refill,All Out,438,Home & Kitchen,Freshener & Repellents,6x45 ,"
All Out Ultra refill kills Dengue Mosquitoes.

Features:
- Improved refill which lasts upto 2X longer
- Powerful Protection
- Kills Dengue Mosquitoes
- Original Fragrance

Precautions:
- Keep away from foodstuffs, empty foodstuff containers and animal's food
- Avoid contact with mouth, eyes and skin
- Avoid inhalation while using
- Keep the electric-machine out of the reach of the children while using the insecticide
",Home & Kitchen > Freshener & Repellents,5,12-01-2010 08:34,1356566400,,United Kingdom
