User ID,A17ZYVAZZZWXU5,A1PY7ODDSRIFGV,A29FNXHYVA2W4G,A2J3WVIQ5LO1O7,A2UVFEZ7UDBRAA,A2WOSVWG4SX1J1,A3BLYMV1UIDWU9,A3EI9TX2A4MUSZ,AJ4QIAKKHW21N,AYKXABHFBFGJX
A17ZYVAZZZWXU5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A1PY7ODDSRIFGV,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A29FNXHYVA2W4G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2J3WVIQ5LO1O7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A2UVFEZ7UDBRAA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A2WOSVWG4SX1J1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A3BLYMV1UIDWU9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
A3EI9TX2A4MUSZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AJ4QIAKKHW21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AYKXABHFBFGJX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
